,0
51,"WHO lead expert on infection prevention and control, @allegranzib, is answering your questions on the who, when and how of mask use during #COVID19 #AskWHO"
52,Live Q&A on the use of masks during #COVID19! #AskWHO
53,What precautions should one take when shopping for food during #COVID19? Ensure your hands are clean Keep physical distance (at least 1m) #FoodSafety https://bit.ly/SafeFood2020
54,The full remarks on #COVID19 by @DrTedros 
55,"#COVID19 is confronting families globally with the deadly &amp; devastating impacts of disease outbreaks. In the midst of this crisis, we must also work to ensure all people are protected against diseases for which we have vaccines to prevent. #VaccinesWork"
56,"""WHO is committed to accelerating the development of effective therapeutics, vaccines and diagnostics as part of our commitment to serving the world with science, solutions and solidarity""-@DrTedros #COVID19"
57,"""The Data Safety and Monitoring Committee will continue to closely monitor the safety of all therapeutics being tested in the Solidarity Trial. So far, more than 3500 patients have been recruited in 35 countries""-@DrTedros #COVID19"
58,"""The Executive Group will communicate with the principal investigators in the trial about resuming the hydroxychloroquine arm of the trial""-@DrTedros #COVID19 "
59,"""I have talked about humility a number of times over the last few months and I think it’s fair to say that this microscopic virus has humbled all of us""-@DrTedros #COVID19"
60,"""Although #COVID19 is giving us many reasons to grieve, today we’re also celebrating a public health victory. Yesterday, the @wto ruled that #Australia’s laws on plain packaging for tobacco products are justified, and are not unfair restrictions on trade""-@DrTedros"
61,More on #COVID19 transmission here 
62,"Make your own avatar using @Genies and spread WHO’s #HealthyAtHome messages with personalised stickers that you can use on messaging &amp; social media! To make your own, simply download the Genies app from App Store or Play Store. #COVID19 #coronavirus"
63,The full briefing on #COVID19 by @DrTedros 
64,"""More than six months into the #COVID19 pandemic, this is not the time for any country to take its foot off the pedal. This is the time for countries to continue to work hard, on the basis of science, solutions and solidarity""-@DrTedros"
65,"""The platform also includes the #COVID19 Supply Portal, enabling countries to request critical supplies of diagnostics, protective equipment and other essential medical provisions""-@DrTedros"
66,"""More evidence is needed about the effectiveness of these tools for contact tracing. We encourage countries to gather this evidence as they roll out these tools, and to contribute that evidence to the global knowledge base""-@DrTedros #COVID19"
67,"""More than 100,000 #COVID19 cases have been reported on 9 of the past 10 days. Yesterday, more than 136,000 cases were reported, the most in a single day so far. Almost 75% of yesterday’s cases come from 10 countries, mostly in the Americas and South Asia""-@DrTedros"
68,Share the “Do the Five to stop the spread of #coronavirus” filter and stickers with your friends on @Snapchat ! And subscribe to WHO on Snapchat https://snapchat.com/add/who #COVID19 
69,Stay connected with your loved ones during #COVID19: Send air high five &amp; celebrate our medical heroes using WHO-@WhatsApp 'Together At Home' sticker pack! #coronavirus
70,WHO Health Alert on #COVID19 is also on Messenger http://messenger.com/t/WHO Stay informed and get accurate information about #Coronavirus!
71,"""That means, for example, that when a doctor is doing a ward round on the cardiology or palliative care units where there are no confirmed #COVID19 patients, they should still wear a medical mask""-@DrTedros"
72,"As we respond to #COVID19, now more than ever, we must ensure the continuation of essential health services like immunization , to stop vaccine-preventable diseases like measles, polio &amp; meningitis. #VaccinesWork"
73,"""That’s why WHO and our partners have established the Access to #COVID19 Tools Accelerator and the COVID-19 Technology Access Pool. Our shared duty is to ensure that once a vaccine is available, it is available to everyone""-@DrTedros #GVS2020"
74,"""The Executive Group received this recommendation and endorsed continuation of all arms of the Solidarity Trial, including hydroxychloroquine""-@DrTedros #COVID19 "
75,"""On the basis of the available mortality data, the members of the committee recommended that there are no reasons to modify the trial protocol""-@DrTedros #COVID19"
76,"""This decision was taken as a precaution while the safety data were reviewed. The Data Safety and Monitoring Committee of the Solidarity Trial has been reviewing the data""-@DrTedros #COVID19 "
77,"""As you know, last week the Executive Group of the Solidarity Trial decided to implement a temporary pause of the hydroxychloroquine arm of the trial, because of concerns raised about the safety of the drug""-@DrTedros #COVID19"
78,"""We have added two new courses: one on decontamination and sterilization of medical devices, and another on environmental cleaning and disinfection. In total, we now offer 12 courses in 27 languages""-@DrTedros #COVID19 "
79,"The guide also provides practical advice for managers and supervisors to ensure the well-being, safety and health of their colleagues during #COVID19; how to create supportive work environments and how to support staff if they become distressed. https://bit.ly/2XWvsDc"
80,"To recover well from #COVID19, people need to feel that they have some control in their lives. The guide advises how to help others find their own solutions to their problems. https://bit.ly/2XWvsDc #MentalHealth"
81,How can essential workers during #COVID19 present themselves and communicate with empathy so that others who may be feeling anxious or confused feel comfortable with them? Answer: https://bit.ly/2XWvsDc #MentalHealth
82,Essential workers during #COVID19 should care for their own mental well-being: keeping up with physical exercise getting enough sleep continuing with activities they enjoy More tips: https://bit.ly/2XWvsDc
83,Basic Psychosocial Skills: a Guide for essential workers during #COVID19 will help them use psychosocial support skills in their daily work https://bit.ly/2XWvsDc #MentalHealth
84,"Mums and dads, you deserve praise! You are stars! Looking after kids 24-7 during #COVID19 isn’t easy. Remind yourself of what you did well today. Think about the good moments. More parenting tips during COVID-19 https://bit.ly/ParentingCOVID19"
85,Talk to your children about #COVID19. It’s hard for them not to hear about it. Silence &amp; secrets do not protect our children. Honesty &amp; openness do. Think about how much they will understand. You know them best. More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19
86,Crowded and messy home? Kids crying? Teenagers screaming? Back-to-back online meetings? Take a deep breath. Take a break. Do something for yourself. Take care of yourself so you can take care of your children More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19
87,"A structured day helps kids feel secure and makes it easier to manage them. Try making a timetable, with schoolwork, games, free time, exercise and handwashing. Take charge of your days - routine up! More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19"
88,"Praise is powerful. Try praising your child or teenager for something they have done well. Do it in a genuine way. They may not show it, but you’ll see them doing that good thing again. More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19 #ParentsDay"
89,"Catch bad behaviour early & redirect your kids' attention from a to a behaviour. Clear, positive instructions get us the behaviour that we want. Swap ‘don’t make a mess’ for ‘please put away your pens’ More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19"
90,Try taking 20 minutes doing something the kids choose – like playing a game or reading - together with them. No or so you can focus on them. Quality time will make them feel safe &amp; loved. More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19 #ParentsDay
91,"This announcement comes as a long & complex #Ebola outbreak in eastern #DRC is in its final phase (on 14 May,@MinSanteRDC began the 42-day countdown to the declaration of the end of that outbreak), while the also battles #COVID19 &amp; the ’s largest #measles outbreak."
92,The increase of #antimicrobialresistance could further be fueled by the inappropriate use of antibiotics during the #COVID19 pandemic. http://bit.ly/36NYDwx
93,Media briefing on #COVID19 with @DrTedros
94,"Health services for noncommunicable diseases have been severely disrupted since the #COVID19 pandemic began. The impact is global , according to new WHO survey http://bit.ly/2UeAbPV"
95,"#OpenWHO now offers dozens of free, multilingual online courses to support the response to #COVID19. 3 million have already enrolled – join them in this interactive learning experience: https://bit.ly/3efpRPN"
96,"To help over 1 billion tobacco users quit, WHO is launching Florence, a digital health worker that combats misinformation about #COVID19 and tobacco and gives recommendations and tips for quitting "
97,Smokers may be more vulnerable to a severe case of #COVID19 Q&amp;A https://bit.ly/36Ee2zt #TobaccoExposed
98,Learn about #coronavirus &amp; emergency response with #OpenWHO courses: -Intro to #COVID19 -Health &amp; safety -Infection prevention &amp; control -Protective equipment - hygiene -Clinical care -Country capacitation -Treatment facilities -Field data tool -&amp; more! https://bit.ly/3efpRPN
99,"Smoking suffocates the lungs and other organs, starving them of the oxygen they need to develop and function properly. https://bit.ly/2XgEn3m #COVID19 #TobaccoExposed"
100,The #COVID19 Technology Access Pool was first proposed in March by President @CarlosAlvQ of #CostaRica 
101,"The #COVID19 Technology Access Pool will be voluntary and based on social solidarity. It will provide a one-stop shop for scientific knowledge, data and intellectual property to be shared equitably by the global community. https://bit.ly/2XcQePN"
102,"The #COVID19 Technology Access Pool aims to: Accelerate the discovery of vaccines, medicines &amp; other technologies through open-science research Fast-track product development by mobilizing additional manufacturing capacity https://bit.ly/2XcQePN"
103,"30 countries & multiple international partners and institutions have signed up to support the #COVID19 Technology Access Pool in a bid to make vaccines, tests, treatments and other health technologies to fight COVID-19 accessible to all. https://bit.ly/2XcQePN"
104,"""#COVID19 has highlighted the inequalities of our world. But it’s also offering us an opportunity to bridge those inequalities and build a fairer world – a world in which health is not a privilege for the few, but a common good""-@DrTedros"
105,Live: Launch of the #COVID19 Technology Access Pool 
106,"#LetsTalk about keeping a healthy mind during #COVID19! In the below thread , WHO answers frequently asked questions on how to manage stress and anxiety in a time of pandemic. "
107,"WHO prescription for a healthy & green #COVID19 recovery: Protect nature Invest in essential services Ensure a quick healthy energy transition Promote healthy, sustainable food systems Build healthy, liveable cities Stop using taxpayers’ to fund pollution "
108,"Urgent action needed to accelerate access to sustainable and modern energy solutions, which is key for a resilient green recovery post-#COVID19. Latest #TrackingSDG7 report https://bit.ly/2Bb8ReB"
109,"Mothers with symptoms of #COVID19 are advised to wear a medical mask, but even if this is not possible, #breastfeeding should be continued. https://bit.ly/2Wxz2F1"
110,Women with #COVID19 can breastfeed. They should: Wash hands with soap and water or use alcohol-based hand rub frequently Wear a medical mask during any contact with the baby Sneeze or cough into a tissue Routinely clean and disinfect surfaces touched : @PMNCH
111,"Close contact and early, exclusive #breastfeeding helps a baby to thrive. A woman with #COVID19 should be supported to: breastfeed safely hold her newborn skin-to-skin share a room with her baby https://bit.ly/2Wxz2F1"
112,It is not safer to give infant formula milk to your baby if you have confirmed or suspected #COVID19 https://bit.ly/2A0lqZs #breastfeeding
113,"Women should continue to breastfeed during the pandemic, even if they have #COVID19. The numerous benefits substantially outweigh the potential risks of transmission &amp; illness associated with the virus http://bit.ly/2A0lqZs #breastfeeding : @PMNCH"
114,WHO and @UNICEF call on governments to urgently strengthen legislation on the International Code of Marketing of Breast-milk Substitutes during the #COVID19 pandemic. They should not seek or accept donations of breast-milk substitutes in emergency situations. #breastfeeding
115,"During #COVID19, essential health care services aimed at supporting mothers to breastfeed, including counselling and skilled lactation support, have been disrupted in many countries. https://bit.ly/36EHoNZ"
116,"WHO, @unfoundation and animation studio Illumination have partnered to launch a Public Service Announcement that reinforces safe and healthy behaviour during #COVID19, featuring globally beloved Gru and the @Minions. https://bit.ly/WHOxMinionsGru"
117,The @Minions &amp; Gru are supporting WHO in making sure people of all ages stay safe and healthy during this #COVID19 pandemic: physically distancing being active at home being kind to each other 
118,"""To further promote the Solidarity Response Fund, WHO has partnered with Illumination to launch a public service announcement today aimed at children featuring the beloved animated characters the @Minions &amp; Gru, voiced by the actor @SteveCarell""-@DrTedros #COVID19 "
119,Media briefing on #COVID19 with @DrTedros
120,"The best way to ensure cases of #COVID19 are on a downward trajectory is to put strong testing, disease surveillance and public health measures in place. "
121,"The Solidarity Trial is an international clinical trial to help find an effective treatment for #COVID19, launched by WHO and partners. It is hoped that one or more of the treatments under trial will result in improving clinical outcomes in COVID-19 patients and save lives "
122,The Executive Group for the Solidarity trial has implemented a temporary pause of the trial of hydroxychloroquine as a treatment for #COVID19 while the safety data is reviewed by the Data Safety Monitoring Committee. 
123,Recovering from #COVID19 will involve some major financial reforms: a good place to start is with fossil fuel subsidies http://bit.ly/HealthyRecovery #HealthyRecovery : United Nations @UN
124,"WHO manifesto for a #HealthyRecovery from #COVID19 Stop using taxpayers’ money to fund pollution. It‘s time to stop paying the pollution bill, both through our pockets and our lungs. http://bit.ly/HealthyRecovery"
125,"Many of the largest and most dynamic cities in the world, such as Milan, Paris, London, have reacted to the #COVID19 crisis by pedestrianizing streets &amp; massively expanding cycle lanes - enabling “physically distant” transport during the crisis. #HealthyRecovery : USDA"
126,"WHO manifesto for a #HealthyRecovery from #COVID19 Build healthy, liveable cities. Public transport, walking and cycling brings major health benefits through reducing air pollution, road traffic injuries. http://bit.ly/HealthyRecovery"
127,"If you are experiencing violence at home during #COVID19 &amp; need to leave in a hurry: Identify a friend, neighbour, relative or #SafeHouse you can go to Plan how to get there Keep ready essential personal items to take with you https://bit.ly/2M19WrG @kelly_smith10"
128,WHO manifesto for a #HealthyRecovery from #COVID19 Ensure a quick healthy energy transition. More than 90% of people breathe outdoor air with pollution levels that exceed WHO air quality guideline values. 
129,"Health care facilities must be equipped with water and sanitation services, incl. the and that constitutes the most basic intervention to cut the spread of #COVID19 and other infections https://bit.ly/HealthyRecovery #HealthRecovery"
130,"WHO manifesto for a #HealthyRecovery from #COVID19 Invest in essential services, from water and sanitation to clean energy in healthcare facilities. Around the , billions of people lack access to the most basic services that are required to protect their health. "
131,"WHO manifesto for a #HealthyRecovery from #COVID19 Protect and preserve the source of human health: Nature. Overall plans for post-COVID-19 recovery, and specifically plans to reduce the risk of future epidemics, need to lessen our impact on our environment. "
132,WHO manifesto for a #HealthyRecovery from #COVID19 aligns with this resounding call to action from the world's health community https://bit.ly/HealthyRecovery : Greenpeace/Vivek M.
133,The document provided practical guidance on implementing rapid mortality surveillance and measuring excess mortality in the context of #COVID19 pandemic. Big focus on implementation in low-resource settings https://bit.ly/2yzQfE8 #WorldHealthData
134,Countries need real-time mortality data for an effective #COVID19 response. WHO together with @VitalStrat &amp; @AfricaCDC released a new technical package on rapid mortality surveillance https://bit.ly/2yzQfE8 #WorldHealthData
135,"""The other arms of the trial are continuing. This concern relates to the use of hydroxychloroquine and chloraquine in #COVID19. I wish to reiterate that these drugs are accepted as generally safe for use in patients with autoimmune diseases or malaria""-@DrTedros"
136,"""The authors reported that among #COVID19 patients receiving the drug, when used alone or with a macrolide, they estimated a higher mortality rate""-@DrTedros"
137,"""On Friday, @TheLancet published an observational study on hydroxycholoroquine &amp; chloraquine &amp; its effects on #COVID19 patients that have been hospitalised""-@DrTedros"
138,Media briefing on #COVID19 with @DrTedros
139,"#COVID19 has changed the in so many ways, bringing us closer together and reaffirming the importance of #HealthForAll. Don't miss this video showing the key moments so far as WHO works with partners worldwide to fight the pandemic and save lives."
140,"The #OpenWHO course 'Introduction to #COVID19' is now available in 16 languages, including 3 new ones: - Amharic (አማርኛ) - Hausa - Swahili Join the WHO learning platform today: http://openwho.org"
141,"In November 2019, the Global Preparedness Monitoring Board published its first report, which warned that the was dangerously unprepared for a “very real threat of a rapidly moving, highly lethal pandemic of a respiratory pathogen” – a risk that remains today. #COVID19 "
142,The new guidance recommends countries make specific risk assessments based on: -local dynamics of #COVID19 transmission -health system capacities -public health benefit of conducting preventive &amp; outbreak response vaccination campaigns https://bit.ly/3ghfEDp
143,"In March 2020, WHO recommended temporary suspension of preventive campaigns while assessing risk & effective measures for reducing #COVID19 transmission. WHO has now issued guidance to help countries determine how/when to resume mass campaigns: https://bit.ly/3ghfEDp"
144,"Many countries have temporarily suspended preventive mass vaccination campaigns against diseases like cholera, measles, meningitis, polio, tetanus, typhoid & yellow fever, due to transmission risk & need to maintain physical distancing during early stages of #COVID19 pandemic. "
145,"This stark warning precedes the Global Vaccine Summit on 4 Jun 2020, at which world leaders will come together to help maintain immunization programmes & mitigate the impact of #COVID19 in lower-income countries. https://bit.ly/3bOuOg8 #HealthForAll"
146,"WHO, @gavi &amp; @UNICEF issue joint warning today that at least 80M children under 1 are at risk of diseases like diphtheria, measles &amp; polio, as #COVID19 disrupts routine vaccination efforts. https://bit.ly/3bOuOg8 #HealthForAll"
147,"""WHO and @UNICEF have been working closely from the start of this outbreak to ensure essential supplies are reaching #healthworkers, patients and children across the world""-@DrTedros #COVID19"
148,"""Any suspension of childhood vaccination services is a major threat to life. WHO is working with governments around the world to ensure supply chains remain open and lifesaving health services are reaching all communities""-@DrTedros #COVID19 #HealthForAll"
149,"""As the world comes together to develop a safe and effective vaccine for #COVID19, we must not forget the dozens of lifesaving vaccines that already exist and must continue to reach children everywhere""-@DrTedros"
150,"""This risks putting tens of millions of children – in rich and poor countries – at risk of killer diseases like diphtheria, measles and pneumonia""-@DrTedros #COVID19 #HealthForAll https://bit.ly/2XjNKhz"
151,"""WHO, @UNICEF and @gavi, the Vaccine Alliance and other partners are working to ensure that the #COVID19 pandemic does not reverse decades of progress against vaccine preventable childhood diseases""-@DrTedros #HealthForAll http://bit.ly/2XjNKhz"
152,"""One of the most essential services that has been disrupted is routine childhood immunisation. Today, WHO is publishing new guidance on implementing mass vaccination campaigns in the context of #COVID19""-@DrTedros #HealthForAll https://bit.ly/2XjNKhz"
153,"""People with #diabetes are vulnerable to developing severe disease from #COVID19 and struggle with the day-to-day problems of disrupted access to medication, equipment and health care""-@DrTedros #BeatNCDs"
154,"""As the world passes 5 million recorded cases of #COVID19, we recognize the importance of building national unity and global solidarity to learn from each other and suppress the virus everywhere""-@DrTedros"
155,"Insulin is a life-saving treatment for people with #diabetes. During #COVID19, many people with noncommunicable diseases such as diabetes are finding it difficult to access life-saving treatment https://bit.ly/2A2j7Fe"
156," Scientists Researchers Health Care Workers are working together to better understand #COVID19 , how it spreads &amp; and how to protect people. While they continue their work we need to come together. Let’s all prevent the spread of the #coronavirus"
157,"""The was already off-track for the “triple billion” targets &amp; the @GlobalGoalsUN &amp; there is no question that the #COVID19 pandemic threatens to set us back even further. That makes our task even bigger &amp; we must all redouble our efforts as a global community""-@DrTedros #EB147"
158,"""With the @unfoundation and the Swiss Philanthropy Foundation, we launched the #COVID19 Solidarity Response Fund, which has so far raised more than 214 million dollars from more than 375,000 individuals, corporations and foundations""-@DrTedros #EB147"
159,Live from #EB147. #COVID19 
160,"Available in 15+ languages, the #COVID19 guide incl: -updated research -activities -quotes from scientists &amp; frontline public health officials -physical &amp; emotional safety tips -integration of inquiry-based science education with social &amp; emotional learning, civic engagement "
161,"Through peer-led/home-based tasks, students can learn about: -impact of #COVID19 on the -how to practice hand &amp; respiratory hygiene + physical distancing -how to research more info about COVID-19 -how to take action on the new scientific knowledge they learn "
162,"Based on @GlobalGoalsUN, the new WHO, @SmithsonianScie, @IAPartnership guide aims to help young people: understand the science &amp; social science of #COVID19 take actions to keep themselves, their families &amp; communities safe https://bit.ly/2Xl9KJ3"
163,"#COVID19 has robbed us of: people we love lives and livelihoods It has shaken the foundations of our . But it has also reminded us that for all our differences, we are one human race, and we are stronger TOGETHER! "
164,UNCHR also joined the #COVID19 Solidarity Response Fund. The Fund contributed USD10 million to support @Refugees work on urgent needs: -community engagement -hygiene &amp; medical supplies -isolation units -global preparedness activities http://bit.ly/2ZpAvhS
165,"The joint WHO & @Refugees agreement supports ongoing efforts to protect some 70 million forcibly displaced people from #COVID19, incl: -26M refugees, 80% of whom are in low-&amp; middle income countries with fragile health systems -40M internally displaced ppl http://bit.ly/2ZpAvhS"
166,"To keep some 70 million refugees, displaced & stateless people worldwide safe from #COVID19 &amp; other health challenges, WHO &amp; @Refugees join forces to strengthen &amp; advance public health services for forcibly displaced people. https://bit.ly/2ZpAvhS"
167,The full briefing on #COVID19 by @DrTedros 
168,"""The #COVID19 pandemic has taught and reinforced many lessons: Health is not a cost; it’s an investment. To live in a secure world, guaranteeing quality #HealthForAll is not just the right choice; it’s the smart choice""-@DrTedros"
169,"""Our thoughts are with those affected & we recognize that like with #COVID19 there's a serious threat to life, particularly the poorest &amp; most marginalized communities. WHO continues to offer support to &amp; to tackle both COVID-19 &amp; the effects of the #CycloneAmphan""-@DrTedros"
170,"""#COVID19 is not the only challenge the is facing. The climate crisis is causing increasingly strong storms, abnormal weather patterns &amp; catastrophic shocks. Super #CycloneAmphan is one of the biggest in years &amp; is currently bearing down on Bangladesh &amp; India""-@DrTedros"
171,"""We still have a long way to go in the #COVID19 pandemic. In the last 24h, there have been 106,000 cases reported to WHO – the most in a single day since the outbreak began. Almost two thirds of these cases were reported in just four countries""-@DrTedros"
172,"""An important collaborative response to the #WHA73 resolution will be the #COVID19 technology platform proposed by , which we will launch on the 29th of May, which aims to lift access barriers to effective vaccines, medicines &amp; other health products""-@DrTedros"
173,"""I want to thank President @s_sommaruga President @CyrilRamaphosa President Xi President @moonriver365 President @EmmanuelMacron President @IvanDuque President @MaritoAbdo Chancellor Merkel ...""-@DrTedros #COVID19 #WHA73"
174,"""Yesterday, we concluded a very productive #WHA73. We saw unprecedented solidarity with Heads of Government from around the world beaming into the World Health Assembly to discuss lessons, challenges and collective next steps to tackle the #COVID19 pandemic""-@DrTedros"
175,Media briefing on #COVID19 with @DrTedros
176,"Every country and every organization must examine its response and learn from its experience. WHO is committed to transparency, accountability and continuous improvement. https://bit.ly/3gdc6Cr #COVID19 "
