,0
39,"When India imposed a nationwide lockdown a week ago, it was designed to stop the imminent spread of the novel #coronavirus But grinding the country of 1.3 billion people to a near halt has also provided a temporary remedy to suffocating pollution levels. https://www.dawn.com/live-blog/"
40,First meeting of Parliamentary Committee on Coronavirus Disease to be held on April 6 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
41,Italy's lockdown measures to be extended to April 13 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
42,District admin to de-seal 3 localities in Islamabad Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
43,Watch: Survivors share their coronavirus experience Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
44,"Watch: In tribute to medical workers, Empire State Building lit up to resemble an ambulance siren Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
45,Pictures: KPT sprays disinfectant in various Karachi localities Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
46,KP govt orders to limit prayer congregations to 5 people Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
47,"All but 28 coronavirus patients who died had prior health conditions, says UK's NHS Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
48,EU warns Hungary on flouting democracy with coronavirus laws Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
49,Zafar Mirza urges Pakistanis to follow social distancing directives Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
50,"According to the government's portal for tracking the total number of #coronavirus cases in the country, seven more cases have been reported in Islamabad, while Gilgit-Baltistan's total has risen by 20. https://www.dawn.com/live-blog/"
51,"The US death toll from the #coronavirus pandemic has climbed past 3,000 in a single day. https://www.dawn.com/live-blog/"
52,UK police criticised for overzealous lockdown response Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
53,"US deaths surge past 3,000 as NY hails 1,000-bed hospital ship Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
54,Spain broke another national record of daily #coronavirus deaths on Sunday as more than 40 per cent of the world’s population was asked to stay home in hopes of halting the deadly march of the disease. https://www.dawn.com/news/1544896/ #coronavirus 
55,Police site crashes as Kiwis turn into shutdown snitches Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
56,"""We must always fight racism & prejudice, and promote respect, compassion & equality,"" said the UN chief. https://www.dawn.com/live-blog/ #Coronavirus "
57,"Don't believe rumours, no death reported in Islamabad: DC Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
58,"US President Donald Trump Trump faces a re-election battle this year, but his campaign has been upended by the pandemic. https://www.dawn.com/news/1543862 #coronavirus "
59,Moscow unveils coronavirus tracking app as national lockdown widens Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
60,"As increasing number of European hospitals buckle under the strain of tens of thousands of #coronavirus patients, the crisis has exposed a surprising paradox: Some of the world’s best health systems are remarkably ill-equipped to handle a pandemic. https://www.dawn.com/news/1545452/"
61,"US death toll surges past 4,000 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
62,China starts to report asymptomatic coronavirus cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
63,"France to ramp up domestic production of face masks, respirators: Macron Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
64,Russian lawmakers approve jail time for quarantine offenders Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
65,12-year-old girl dies in Belgium Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
66,"Volunteers across the United States have begun making masks, gowns and other forms of personal protective equipment (PPE) to donate to hospitals, as the novel #coronavirus pandemic rapidly depletes the medical supply. https://www.dawn.com/live-blog/"
67,"Shortages of protective health gear in India are forcing some doctors to use raincoats and motorbike helmets while fighting the #coronavirus, exposing the weak state of the public health system ahead of an anticipated surge in COVID-19 cases. https://www.dawn.com/live-blog/"
68,6 new cases detected in Balochistan Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
69,"1,541 asymptomatic coronavirus patients under observation, say Chinese authorities Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
70,Elephants in Thailand face a grim future because of coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
71,Former Congo president dies of coronavirus in France Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
72,Govt launches Covid-19 WhatsApp helpline Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
73,Another medical staffer in Gilgit Baltistan has died from #Coronavirus according to officials. https://www.dawn.com/live-blog/
74,"With the rising number of #coronavirus cases in Sindh, residents are becoming increasingly wary of the pandemic and are taking whatever precautions deemed necessary to protect themselves and their loves ones. https://www.dawn.com/news/1544766/"
75,"Russia reports highest daily rise as cases surpass 1,000 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
76,"Following in the footsteps of Sindh and Balochistan, the Punjab government has issued a notification limiting the number of people that can attend Friday and congregational prayers in an effort to curb the spread of the #coronavirus. https://www.dawn.com/live-blog/"
77,Prime Minister Imran Khan on Wednesday stressed the need for fighting the pandemic collectively and said he was ready to get input from all the parties. https://www.dawn.com/news/1543845 #coronavirus 
78,"Balochistan has reported 12 more #coronavirus cases, government spokesperson Liaqat Shahwani said, taking the total provincial tally to 131. https://www.dawn.com/news/1543850"
79,Attock Refinery says will close in a week unless demand rises Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
80,#Punjab's tally rises to 708 with 32 new cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
81,Careem launches support initiatives for its captains Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
82,FDA authorises use of new two-minute test kit Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
83,"1870 cases have been confirmed so far, since the first case of #coronavirus was reported in Pakistan on Feb 26. https://www.dawn.com/live-blog/"
84,"Millions of migrant workers across the Gulf face uncertainty as host countries announce lockdowns, employers withhold wages or mull redundancies, and strict #coronavirus containment measures lead to deportations and confinement. https://www.dawn.com/news/1545164/"
85,The government has launched a “WhatsApp Corona Helpline” to combat misinformation and deliver updates on the country’s most popular messaging service. https://www.dawn.com/live-blog/ #coronavirus 
86,British Airways is suspending flights from London's Gatwick Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
87,Govt will extend support to every segment of society: Dr Sania Nishtar Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
88,World's last virus-free corners hold tight Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
89,"Worldwide infections surpass 640,000 with nearly 30,000 deaths Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
90,"16 new #coronavirus cases have been reported in Gilgit Baltistan, while 12 have been reported in Islamabad. https://www.dawn.com/live-blog/"
91,Special flight to bring back 60 Pakistanis stranded abroad Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
92,Pictures from yesterday's Friday prayers in Pakistan Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
93,"Oil prices rose as governments around the world pledged a huge injection of funds and other measures to limit the economic fallout from the #coronavirus pandemic, despite fears the outbreak will destroy demand for oil. https://www.dawn.com/news/1544129"
94,Auqaf department has notified a set of instructions regarding the protocol for Friday prayer in Islamabad. Prayer leaders have also been instructed to keep the khutbah and prayer short. #Coronavirus 
95,"The federal and provincial governments decided to seal the areas where new cases of #coronavirus are reported, as the addition of over 100 cases from across the country on Thursday took the total number of confirmed patients of Covid-19 to 1,190. https://www.dawn.com/news/1544111"
96,Today's cartoon Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
97,"You’ve got to eat it, to beat it: That’s the philosophy of one Hanoi chef who is attempting to boost morale in the Vietnamese capital by selling green, #coronavirus -themed burgers. https://www.dawn.com/news/1543851"
98,"New York authorities mobilised to head off a potential public health disaster in the city, with its emergence as the nation's biggest #coronavirus hot spot a warning flare and perhaps a cautionary tale for the rest of the country. https://www.dawn.com/news/1543847"
99,"CM Shah directs provincial minister to collect data, provide citizens with relief supplies Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
100,"Indian authorities have sealed off the headquarters of a Tableeghi Jamaat and ordered an investigation into accusations it held religious meetings that officials fear may have infected dozens of people with the #coronavirus, Reuters reported. https://www.dawn.com/live-blog/"
101,"Punjab has reported seven more #coronavirus cases, according to provincial health department spokesperson Qaiser Asif. https://www.dawn.com/live-blog/"
102,Another Covid-19 patient has recovered Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
103,'Please come help us': New York begs for medical workers Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
104,One more death reported in Sindh; total at 6 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
105,PM Imran chairs high-level meeting on the coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
106,WHO chief thanks King Salman for contributing $10m to fight coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
107,"President Donald Trump on Sunday abandoned his timetable for life returning to normal in the United States, extending emergency #coronavirus restrictions for another month. https://www.dawn.com/live-blog/"
108,Watch: A city in India is turning its trains into isolation wards Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
109,#Balochistan's total rises to 138 with 5 new cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
110,4 types of people can be tested for coronavirus: Zafar Mirza Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
111,Movement to be restricted between 8am-5pm in Sindh Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
112,"Vietnam bans large gatherings, cuts flights Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
113,"Thailand has reported 111 new #coronavirus infections, taking its tally to 1,045. https://www.dawn.com/news/1543858"
114,"CM Jam Kamal wants people to show appreciation for medical staff by clapping, flashing lights Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
115,China has asked Pakistan to open the border between the two countries for one day on Friday (March 27) so that medical supplies meant to combat #coronavirus could be transported. https://www.dawn.com/news/1543805/
116,US Senate passes coronavirus rescue package on unanimous vote Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
117,The impact of the #coronavirus means there will be no sound of leather on willow and no hardy supporters wrapped up in woollies braving the bitter early-season conditions. https://www.dawn.com/news/1543604
118,"Balochistan has reported five new cases of the #Coronavirus according to government spokesperson Liaqat Shahwani, taking the province's total to 115. https://www.dawn.com/news/1543605"
119,10 more patients recover in Sindh; total tally of recovered in province rises to 14 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
120,Police register FIR against designer's husband for sending Covid-19 positive employee to village Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
121,US could become next coronavirus epicentre: WHO Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
122,Sindh chief minister urges people to contact helpline if they experience symptoms Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
123,Govt will use reservoir to ensure supply of wheat; price of pulses will be reduced by Rs30-40 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
124,"Petrol, diesel prices to be reduced by Rs15 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
125,"Pakistan needs 10,000 ventilators, but only China can sell, says NDMA chairman Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
126,"PM Imran opposes curfew, says it will have negative impact Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
127,"Punjab has reported its first #coronavirus death, provincial health department official Qaiser Asif confirmed, bringing the total number of deaths in the country to seven. https://www.dawn.com/news/1543383"
128,"In his daily live media briefing, Special Assistant to Prime Minister on Health Dr Zafar Mirza said that Prime Minister Imran Khan will address the nation soon and would announce something really important. https://www.dawn.com/news/1543384 #coronavirus "
129,"Two #coronavirus patients in Gilgit Baltistan have recovered, region's focal person for coronavirus, Dr Shah Zaman said. https://www.dawn.com/news/1543369"
130,"The Peshawar High Court has decided to shut down all courts in the province until March 28, in light of the fast-spreading Covid-19. https://www.dawn.com/live-blog/ #Coronavirus "
131,"Leader of the opposition in the National Assembly and PML-N President Shehbaz Sharif said that bringing politics into the equation, while the country deals with a #coronavirus outbreak, would be a sin. https://www.dawn.com/news/1543375"
132,"China has reported 78 new cases of the deadly #coronavirus with a vast majority brought in from overseas as fears rise of a second wave of infections, according to AFP. https://www.dawn.com/news/1543346"
133,A war of words between Beijing and Washington over Covid-19 intensified on Monday after the Chinese embassy in France suggested the outbreak of what President Donald Trump calls the “Chinese virus” actually started in the United States. https://www.dawn.com/news/1543316 #coronavirus 
134,"""Asking people to stay at home and other physical distancing measures are an important way of slowing down the spread of the virus and buying time — but they are defensive measures,"" said Tedros Adhanom Ghebreyesus, head of the WHO. https://www.dawn.com/news/1543357 #coronavirus "
135,"The State Bank of Pakistan (SBP) has directed the banks to clean, disinfect, seal and quarantine all currency being collected from hospitals and clinics, blocking it from circulation. https://www.dawn.com/news/1543284/ #Coronavirus "
136,Prime Minister Imran Khan has approved a multi-billion rupee relief package for different segments of society who are vulnerable to the adverse impact of the #coronavirus outbreak on the country’s economy. https://www.dawn.com/news/1543341
137,"Pakistan Muslim League-Nawaz (PML-N) president and Opposition Leader Shahbaz Sharif has contacted Bilawal Bhutto-Zardari, Maulana Fazlur Rehman and others to join him in a multi-party moot today. https://www.dawn.com/news/1543340 #coronavirus "
138,2 Covid-19 patients in GB recover Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
139,Pilots to donate 3-day salary to Covid-19 fund Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
140,"WHO chief has warned that the pandemic is accelerating. ""It took 67 days from the 1st reported case to reach the first 100K cases, 11 days for the second 100K cases and just 4 days for the third 100K cases."" Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
141,"""To win, we need to attack the virus with aggressive and targeted tactics — testing every suspected case, isolating and caring for every confirmed case, and tracing and quarantining every close contact."" Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
142,China reports 78 new virus cases Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
143,US citizen dies after ingesting chloroquine in an attempt to prevent Covid-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
144,Cambridge International cancels May/June examinations in all countries Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
145,Fatima Bhutto: #Pakistan must provide relief to its prisoners in these uncertain times Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
146,"Deserted streets, silent markets: #Pakistani cities go under coronavirus lockdown Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
147,"The 2020 Olympic Games will be postponed by one year because of coronavirus, International Olympic Committee member Dick Pound was quoted as saying by the BBC. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
148,UN chief calls for an immediate global ceasefire Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
149,Govt will go to every extent to protect the poor from Covid-19's economic impact: PM Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
150,IMF warns coronavirus recession could be worse than 2009. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
151,#Islamabad locality quarantined after 6 Tableeghi Jamaat members test positive Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
152,"Canadian Prime Minister Justin Trudeau, speaking outside his residence while in self-isolation after his wife tested positive for the virus, said “enough is enough — go home and stay home”. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
153,"Sindh records 42 new cases, tally nears 400 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
154,Interior ministry approves deployment of armed forces across the country Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
155,Sindh minister Saeed Ghani tests positive for coronavirus. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
156,"A group of 13 people, including six foreigners, were sitting in tableegh in Kot Hathial, the official said, adding that one of the foreigners had tested positive for the #coronavirus earlier. https://www.dawn.com/live-blog/"
157,Punjab Chief Minister Usman Buzdar has announced a 14-day partial lockdown in the province as part of an effort to contain the novel #coronavirus. https://www.dawn.com/live-blog/
158,Iran's death toll from coronavirus climbs to 1812 with 127 new deaths Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
159,UK calls in army and warns people to stay home or face lockdown Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
160,"About 71 people have been arrested for violating Section 144 in Jacobabad. Police, army personnel and Rangers are patrolling the city to ensure people stay inside their homes. https://www.dawn.com/live-blog/ #CoronaVirus "
161,"King Salman bin Abdulaziz has issued a curfew order from 7 pm until 6 am for a period of 21 days, effective from Monday evening, to limit the spread of #Coronavirus in the Saudi Arabia. https://www.dawn.com/live-blog/"
162,Pakistan's first Covid-19 casualty may have exposed thousands to virus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
163,"Statistics collected by various monitoring agencies in Washington showed that by Sunday afternoon, the United States had a total of 38,138 confirmed cases, including 13,931 new ones. https://www.dawn.com/live-blog/ #coronavirus "
164,"The National Institute of Health has announced that four new cases of #coronavirus have been detected in Islamabad, taking Islamabad's total number of cases to 15 and the national tally to 803. https://www.dawn.com/live-blog/"
165,Saudi Arabia imposes 21-day curfew to curb virus spread Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
166,Banknotes carry no particular coronavirus risk: German disease expert Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
167,Coronavirus update: US now has the third highest number of confirmed #coronavirus cases after China and Italy. https://www.dawn.com/live-blog/
168,71 people arrested in Jacobabad for violating Section 144 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
169,"KP bans inter-district travel, markets shut down Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
170,German Chancellor Angela Merkel will quarantine herself at home after being treated by a doctor who has since tested positive for the novel #coronavirus. https://www.dawn.com/live-blog/
171,"4 new cases detected in Islamabad, Pakistan's tally crosses 800 mark Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
172,Balochistan reports first virus death taking tally to 6 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
173,Sindh goes into lockdown as Pakistan's Covid-19 cases near 800 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
174,"Karachi, Sukkur airports to be closed for domestic flights Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
175,"225 confirmed cases in Punjab, Metro bus service being suspended temporarily: Buzdar Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
176,No new positive cases of Covid-19 reported in KP today Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
177,"Restaurants, cafes and malls to remain closed for a week in Islamabad Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
178,Saudi Arabia announces 119 new cases; total cases rise to 511 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
179,41 new cases confirmed in Sindh; provincial tally rises to 333 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
180,2 mosques in Islamabad sealed after foreigner tests positive for Covid-19 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
181,Lockdown in Sindh starting midnight: CM Shah Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
182,"Do not collect bills for this month below Rs5,000 and Rs2,000, Sindh CM directs KE, SSGC Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
183,Pakistan's fourth virus death reported in KP Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
184,Balochistan govt requests for army deployment to deal with coronavirus situation Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
185,"About 2,000 more people expected in Balochistan from Iran soon Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
186,US official with virus symptoms arrives in Islamabad Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
187,38 positive for coronavirus in New York City jails Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
188,Sindh requisitions army as lockdown appears to be on the cards Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
189,#Punjab reports 15 new coronavirus cases; tally at 152 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
190,"#Sindh revises Covid-19 cases figure to 292 from 396, citing 'counting error' Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
191,Turkey has banned people above 65 and those with chronic health problems from leaving their homes as part of Ankara’s efforts to combat the novel coronavirus. Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
192,4 arrested in #Karachi for selling sanitisers components at exorbitant rates Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
193,Shehbaz Sharif returning to #Pakistan tomorrow to 'save nation from coronavirus' Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
194,Pakistan's coronavirus tally rises to 666 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
195,"Swiss coronavirus cases rise 25pc to 6,100; deaths at 56 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
196,"#Punjab to shut shopping malls, public places until Tuesday morning Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
197,41 new cases take #Punjab's total to 137 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
198,#Sindh reports 90 new cases among pilgrims quarantined in Sukkur Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
199,The government has suspended all international flights coming into Pakistan for two weeks. https://www.dawn.com/live-blog/ #Coronavirus 
200,"As the number of coronavirus cases in the country crossed the 500-mark, concerned Pakistani citizens took to Twitter to urge the prime minister to impose a lockdown in the country as a precautionary measure to control the spread of #coronavirus. https://www.dawn.com/live-blog/"
201,"China reported that its mainland had no new home-grown cases of the disease for the third straight day, but 41 imported ones in the previous 24-hour period. https://www.dawn.com/live-blog/ #CoronaVirus "
202,"Panic will cause more damage than the virus,” said PM Imran Khan said at a media talk yesterday. Today’s editorial cartoon by Zahoor. #coronavirus "
203,A spokesperson for the Pakistan International Airlines (PIA) has confirmed that the national carrier has decided to suspend all international flights on directives from the government. https://www.dawn.com/live-blog/ #Coronavirus 
204,Karachi airport has started screening of passengers on domestic flights. The travellers will have to go through screening procedures before boarding and after disembarking from the flights. https://www.dawn.com/live-blog/ #Coronavirus 
205,"Jack Ma, Alibaba Group foundation donate critical supplies to Pakistan. https://www.dawn.com/live-blog/ #CoronaVirus "
206,Three major American states are locking down their residents in the face of a rapidly advancing virus storm that is already severely straining health systems in parts of Europe. https://www.dawn.com/live-blog/ #coronavirus 
207,"127,000 face masks being produced in Punjab everyday: PPSH secretary Follow our live updates on #coronavirus here: http://dawn.com/live-blog/"
208,PIA suspends all international flights till March 28 Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
209,"The Sindh government has set up a 1,100-bed isolation facility at Karachi's Expo Centre. ""I would again urge my dear citizens to quarantine or isolate themselves,"" tweeted Sindh government spokesperson Murtaza Wahab. https://www.dawn.com/live-blog/ #Coronavirus "
210,"So far, 510 cases of #coronavirus have been reported in Pakistan; 3 have recovered, 3 are dead. #Coronavirus "
211,Increase of sanctions on Iran by US 'inhuman and condemnable': Shireen Mazari Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
212,FACT CHECK: Delivery boy in viral video does not have coronavirus Follow our live updates on #coronavirus here: http://dawn.com/live-blog/
