,0,tweets,positivewordscount,negativewordscount,positive_words,negative_words,over all sentiment
10,"['also', 'publish', 'new', 'guideline', 'use', 'digital', 'tool', 'contact', 'trace', 'many', 'digital', 'tool', 'develop', 'assist', 'contact', 'tracing', 'case', 'identification', 'drtedros', 'covid']","['also', 'publish', 'new', 'guideline', 'use', 'digital', 'tool', 'contact', 'trace', 'many', 'digital', 'tool', 'develop', 'assist', 'contact', 'tracing', 'case', 'identification', 'drtedros', 'covid']",2,1,",guideline,assist",",case",positive
11,"['also', 'encourage', 'country', 'strengthen', 'fundamental', 'public', 'health', 'measure', 'remain', 'basis', 'response', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'drtedros', 'covid']","['also', 'encourage', 'country', 'strengthen', 'fundamental', 'public', 'health', 'measure', 'remain', 'basis', 'response', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'drtedros', 'covid']",2,2,",encourage,quarantine",",isolate,case",neutral
12,"['stay', 'inform', 'late', 'information', 'covid', 'trust', 'source', 'try', 'whatsapp', 'service', 'http', 'start', 'type', '‘', 'hi', '’', 'coronavirus']","['stay', 'inform', 'late', 'information', 'covid', 'trust', 'source', 'try', 'whatsapp', 'service', 'http', 'start', 'type', '‘', 'hi', '’', 'coronavirus']",1,0,",trust",,positive
13,"['updated', 'guidance', 'use', 'mask', 'control', 'covid', 'http', 'new', 'guidance', 'base', 'evolve', 'evidence', 'provide', 'update', 'wear', 'mask', 'mask', 'wear', 'mask', 'make']","['updated', 'guidance', 'use', 'mask', 'control', 'covid', 'http', 'new', 'guidance', 'base', 'evolve', 'evidence', 'provide', 'update', 'wear', 'mask', 'mask', 'wear', 'mask', 'make']",2,0,",guidance,guidance",,positive
14,"['continue', 'provide', 'world', 'advice', 'base', 'date', 'evidence', 'part', 'commitment', 'serve', 'world', 'science', 'solution', 'solidarity', 'drtedros', 'covid']","['continue', 'provide', 'world', 'advice', 'base', 'date', 'evidence', 'part', 'commitment', 'serve', 'world', 'science', 'solution', 'solidarity', 'drtedros', 'covid']",3,0,",commitment,serve,solidarity",,positive
15,"['cornerstone', 'response', 'every', 'country', 'must', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'know', 'work', 'every', 'country', '’', 'best', 'defense', 'covid', 'drtedros']","['cornerstone', 'response', 'every', 'country', 'must', 'find', 'isolate', 'test', 'care', 'every', 'case', 'trace', 'quarantine', 'every', 'contact', 'know', 'work', 'every', 'country', '’', 'best', 'defense', 'covid', 'drtedros']",3,2,",cornerstone,quarantine,best",",isolate,case",positive
16,"['say', 'clearly', 'enough', 'mask', 'alone', 'protect', 'covid', 'masks', 'replacement', 'physical', 'distancing', 'hand', 'hygiene', 'public', 'health', 'measure', 'masks', 'benefit', 'part', 'comprehensive', 'approach', 'drtedros']","['say', 'clearly', 'enough', 'mask', 'alone', 'protect', 'covid', 'masks', 'replacement', 'physical', 'distancing', 'hand', 'hygiene', 'public', 'health', 'measure', 'masks', 'benefit', 'part', 'comprehensive', 'approach', 'drtedros']",5,0,",clearly,enough,protect,benefit,comprehensive",,positive
17,"['guidance', 'also', 'explain', 'use', 'mask', 'safely', 'people', 'potentially', 'infect', 'use', 'contaminated', 'hand', 'adjust', 'mask', 'repeatedly', 'take', 'put', 'without', 'clean', 'hand', 'drtedros', 'covid']","['guidance', 'also', 'explain', 'use', 'mask', 'safely', 'people', 'potentially', 'infect', 'use', 'contaminated', 'hand', 'adjust', 'mask', 'repeatedly', 'take', 'put', 'without', 'clean', 'hand', 'drtedros', 'covid']",3,2,",guidance,safely,clean",",infect,contaminated",positive
18,"['third', 'also', 'update', 'guidance', 'use', 'mask', 'general', 'public', 'area', 'community', 'transmission', 'drtedros', 'covid']","['third', 'also', 'update', 'guidance', 'use', 'mask', 'general', 'public', 'area', 'community', 'transmission', 'drtedros', 'covid']",1,0,",guidance",,positive
19,"['second', 'area', 'community', 'transmission', 'advise', '𝗽𝗲𝗼𝗽𝗹𝗲', '𝗮𝗴𝗲𝗱', '𝘆𝗲𝗮𝗿𝘀', '𝗼𝗿', '𝗼𝘃𝗲𝗿', 'underlying', 'condition', 'wear', 'medical', 'mask', 'situation', 'physical', 'distancing', 'possible', 'drtedros', 'covid']","['second', 'area', 'community', 'transmission', 'advise', '𝗽𝗲𝗼𝗽𝗹𝗲', '𝗮𝗴𝗲𝗱', '𝘆𝗲𝗮𝗿𝘀', '𝗼𝗿', '𝗼𝘃𝗲𝗿', 'underlying', 'condition', 'wear', 'medical', 'mask', 'situation', 'physical', 'distancing', 'possible', 'drtedros', 'covid']",1,0,",advise",,positive
